RK,ID,NAME,TEAM,BYE,AGE,POS,POS RK,PTS,ADP
77,19800, Courtland Sutton,DEN,11,25,WR,WR31,199.44,74.7
78,4314, Tom Brady,TB,9,43,QB,QB9,323.77,76
79,17986, Tyler Boyd,CIN,10,26,WR,WR32,200.23,76.8
80,16656, Logan Thomas,WAS,9,29,TE,TE7,156.79,76.9
81,18883, JuJu Smith-Schuster,PIT,7,24,WR,WR33,213.78,79.2
82,21831, Jalen Hurts,PHI,14,22,QB,QB10,322.45,80.4
83,20932, Deebo Samuel,SF,6,25,WR,WR34,195.84,81.4
84,17975, Hunter Henry,NE,14,26,TE,TE8,147.8,81.7
85,18983, James Conner,ARI,12,26,RB,RB33,163.33,81.8
86,18003, Kenyan Drake,LV,8,27,RB,RB34,147.45,82.3
87,21693, Joe Burrow O,CIN,10,24,QB,QB11,293.6,84
88,18187, Robby Anderson,CAR,13,28,WR,WR35,204.75,85.1
89,18464, J.D. McKissic,WAS,9,27,RB,RB35,133.25,86.3
90,20360, Jeff Wilson Jr. O,SF,6,25,RB,RB36,60.55,86.4
91,16568, Brandin Cooks,HOU,10,27,WR,WR36,210.14,87.3
92,21802, A.J. Dillon,GB,13,23,RB,RB37,126.28,87.8
93,18857, Deshaun Watson,HOU,10,25,QB,QB12,201.08,88
94,21692, Jerry Jeudy,DEN,11,22,WR,WR37,198.03,89
95,9038, Matthew Stafford,LAR,11,33,QB,QB13,308.86,91
96,19912, Nyheim Hines,IND,14,24,RB,RB38,140.04,93.1
97,16020, Jarvis Landry,CLE,13,28,WR,WR38,189.88,94
98,20941, Devin Singletary,BUF,7,23,RB,RB39,133.46,94.4
99,18912, Evan Engram,NYG,10,26,TE,TE9,133.53,94.5
100,19863, Dallas Goedert,PHI,14,26,TE,TE10,177.44,95.7
101,10974, Rob Gronkowski,TB,9,32,TE,TE11,142.39,97.6
102,21744, Michael Pittman Jr.,IND,14,23,WR,WR39,149.22,97.8
103,22508, Kyle Pitts,ATL,6,20,TE,TE12,191.09,100.3
104,15071, Latavius Murray,NO,6,31,RB,RB40,122.12,101
105,16775, DeVante Parker,MIA,14,28,WR,WR40,179.91,101.5
105,21697, Laviska Shenault Jr.,JAX,7,22,WR,WR41,182.5,101.5
107,21784, Zack Moss,BUF,7,23,RB,RB41,132.94,101.7
108,21045, Marquise Brown,BAL,8,24,WR,WR42,157.18,102.1
109,13799, Ryan Tannehill,TEN,13,32,QB,QB14,318.97,102.5
110,20239, Gus Edwards,BAL,8,26,RB,RB42,119.42,103.2
111,732, Matt Ryan,ATL,6,36,QB,QB15,281.9,104.1
112,20912, Tony Pollard,DAL,7,24,RB,RB43,118,104.3
113,28, Pittsburgh Steelers,PIT,7,,DST,DST1,115,107.3
114,21696, Travis Etienne,JAX,7,22,RB,RB44,199.33,107.7
115,11056, Antonio Brown,TB,9,32,WR,WR43,179.47,109.6
116,18995, Jamaal Williams,DET,9,26,RB,RB45,136.35,110.1
117,20128, Phillip Lindsay,HOU,10,26,RB,RB46,98.62,111.3
118,18928, Curtis Samuel,WAS,9,24,WR,WR44,196.06,111.7
119,32, Los Angeles Rams,LAR,11,,DST,DST2,102,112
120,22564, Ja'Marr Chase,CIN,10,21,WR,WR45,214.42,112.3
121,14141, Cole Beasley,BUF,7,32,WR,WR46,181.15,112.8
