RK,ID,NAME,TEAM,POS,GAMES,PASSING YDS,PASSING TD,PASSING INT,RUSHING YDS,RUSHING TD,RECEIVING RECEPTIONS,RECEIVING YARDS,RECEIVING TDS,D - SACKS,D - INTERCEPTIONS,D - FF,D - FR,PTS/GAME,TOTAL POINTS
75,19119, Chris Carson,SEA,RB,12,0,0,0,681,5,37,287,4,0,0,0,0,12.6,150.8
76,21674, J.K. Dobbins,BAL,RB,15,0,0,0,805,9,18,120,0,0,0,0,0,10,150.5
77,28, Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,56,18,12,10,9.4,150
78,22108, Tyler Bass,BUF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.3,149
78,32, Los Angeles Rams,LAR,DST,16,0,0,0,0,0,0,0,0,53,14,11,8,9.3,149
80,19238, Taysom Hill,NO,QB,16,928,4,2,457,8,8,98,1,0,0,0,0,9.3,148.62
81,16887, Mike Davis,CAR,RB,15,0,0,0,642,6,59,373,2,0,0,0,0,9.8,147.5
82,14534, Bobby Wagner,SEA,ILB,16,0,0,0,0,0,0,0,0,3,0,0,1,9.2,146.9
83,16847, David Johnson,HOU,RB,12,0,0,0,691,6,33,314,2,0,0,0,0,12.2,146.5
84,19844, DJ Moore,CAR,WR,15,0,0,0,22,0,66,1193,4,0,0,1,0,9.7,145.5
85,15076, Keenan Allen,LAC,WR,14,0,0,0,-1,0,100,992,8,0,0,0,0,10.4,145.1
86,14375, Lavonte David,TB,ILB,16,0,0,0,0,0,0,0,0,1.5,1,3,2,9.1,145
87,16765, Amari Cooper,DAL,WR,16,0,0,0,14,0,92,1114,5,0,0,0,0,9,144.8
88,21684, D'Andre Swift,DET,RB,13,0,0,0,521,8,46,357,2,0,0,0,0,11.1,143.8
89,19273, Eric Wilson,MIN,OLB,16,0,0,0,0,0,0,0,0,3,3,1,2,9,143.45
90,18909, Haason Reddick,ARI,OLB,16,0,0,0,0,0,0,0,0,12.5,0,5,0,9,143.35
91,36, Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,39,10,25,13,8.9,143
92,20933, Miles Sanders,PHI,RB,12,0,0,0,867,6,28,197,0,0,0,0,0,11.9,142.4
93,14697, Greg Zuerlein,DAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141
93,22112, Rodrigo Blankenship,IND,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141
95,14860, Jordan Poyer,BUF,SS,16,0,0,0,0,0,0,0,0,2,2,2,0,8.8,140.4
96,21769, Clyde Edwards-Helaire,KC,RB,13,0,0,0,803,4,36,297,1,0,0,0,0,10.8,140
97,19882, Jerome Baker,MIA,LB,16,0,0,0,0,0,0,0,0,7,0,2,0,8.7,139.95
98,19891, Fred Warner,SF,ILB,16,0,0,0,0,0,0,0,0,1,2,1,2,8.7,139.6
99,64, Miami Dolphins,MIA,DST,16,0,0,0,0,0,0,0,0,41,18,17,10,8.7,139
100,20007, Foyesade Oluokun,ATL,ILB,15,0,0,0,0,0,0,0,0,3,2,2,1,9.3,138.9
101,21921, Jeremy Chinn,CAR,S,15,0,0,0,29,0,0,0,0,1,1,2,2,9.2,138.5
102,16771, Todd Gurley II,ATL,RB,15,0,0,0,678,9,25,164,0,0,0,0,0,9.2,138.2
103,8750, Ryan Succop,TB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.6,138
104,21679, CeeDee Lamb,DAL,WR,16,0,0,0,82,1,74,935,5,0,0,0,0,8.6,137.7
105,16781, Nelson Agholor,LV,WR,16,0,0,0,0,0,48,896,8,0,0,0,0,8.6,137.6
106,18883, JuJu Smith-Schuster,PIT,WR,16,0,0,0,0,0,97,831,9,0,0,0,1,8.6,137.1
107,17145, Neville Hewitt,NYJ,ILB,16,0,0,0,0,0,0,0,0,2,0,0,1,8.6,136.9
108,18927, Budda Baker,ARI,FS,15,0,0,0,0,0,0,0,0,2,2,1,0,9.1,136.8
108,20873, Terry McLaurin,WAS,WR,15,0,0,0,30,0,87,1118,4,0,0,0,0,9.1,136.8
110,21982, Patrick Queen,BAL,LB,16,0,0,0,0,0,0,0,0,3,1,2,2,8.5,136.7
111,14688, Justin Tucker,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.5,136
112,17916, William Fuller V SUS,HOU,WR,11,0,0,0,0,0,53,879,8,0,0,0,0,12.4,135.9
113,12841, Andy Dalton,DAL,QB,11,2169,14,8,114,0,1,-3,0,0,0,0,0,12.4,135.86
114,13810, Demario Davis,NO,OLB,16,0,0,0,0,0,0,0,0,4,0,0,0,8.5,135.6
115,21677, Tua Tagovailoa,MIA,QB,10,1814,11,5,109,3,0,0,0,0,0,0,0,13.5,135.46
116,16618, Aaron Donald,LAR,DT,16,0,0,0,0,0,0,0,0,13.5,0,4,1,8.5,135.4
117,18928, Curtis Samuel,CAR,WR,15,0,0,0,200,2,77,851,3,0,0,0,0,9,135.1
118,18055, Dak Prescott,DAL,QB,5,1856,9,4,93,3,1,11,1,0,0,0,0,26.9,134.64
119,16883, Za'Darius Smith,GB,OLB,16,0,0,0,0,0,0,0,0,12.5,0,3,2,8.4,134.15
120,19812, Sam Darnold,NYJ,QB,12,2208,9,11,217,2,0,0,0,0,0,0,0,11.2,134.02
121,21077, Diontae Johnson,PIT,WR,15,0,0,0,15,0,88,923,7,0,0,0,0,8.9,133.8
122,19073, Harrison Butker,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.2,131
123,17085, Alex Singleton,PHI,OLB,16,0,0,0,0,0,0,0,0,2,1,0,2,8.2,130.8
124,19912, Nyheim Hines,IND,RB,16,0,0,0,380,3,63,482,4,0,0,0,0,8.1,130.2
125,16301, Cairo Santos,CHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,130
126,18923, Jamal Adams,SEA,SS,12,0,0,0,0,0,0,0,0,9.5,0,1,0,10.8,129.95
126,18917, Marlon Humphrey,BAL,CB,15,0,0,0,0,0,0,0,0,2.5,1,8,0,8.7,129.95
128,18983, James Conner,PIT,RB,13,0,0,0,721,6,35,215,0,0,0,0,0,10,129.6
129,18807, Myles Garrett,CLE,DE,14,0,0,0,0,0,0,0,0,12,0,4,2,9.2,129.3
129,20360, Jeff Wilson Jr. O,SF,RB,11,0,0,0,600,7,13,133,3,0,0,0,0,11.8,129.3
131,18187, Robby Anderson,CAR,WR,16,0,0,0,15,0,95,1096,3,0,0,0,0,8.1,129.1
132,14996, Brandon McManus,DEN,K,15,0,0,0,0,0,0,0,0,0,0,0,0,8.5,128
132,18478, Wil Lutz,NO,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8,128
134,21690, Tee Higgins,CIN,WR,16,0,0,0,28,0,67,908,6,0,0,0,0,8,127.6
135,17081, Tyrell Adams,HOU,OLB,16,0,0,0,0,0,0,0,0,2,0,2,1,8,127.5
136,97, Washington Football Team,WAS,DST,16,0,0,0,0,0,0,0,0,47,16,14,7,7.9,127
137,9196, Malcolm Jenkins,NO,SS,16,0,0,0,0,0,0,0,0,2.5,3,1,1,7.9,126.5
138,18879, Corey Davis,TEN,WR,14,0,0,0,0,0,65,984,5,0,0,0,0,9,126.4
