RK,ID,NAME,TEAM,POS,GAMES,PASSING YDS,PASSING TD,PASSING INT,RUSHING YDS,RUSHING TD,RECEIVING RECEPTIONS,RECEIVING YARDS,RECEIVING TDS,D - SACKS,D - INTERCEPTIONS,D - FF,D - FR,PTS/GAME,TOTAL POINTS
194,16786, Shaq Thompson,CAR,ILB,16,0,0,0,0,0,0,0,0,0,0,2,1,7,112.5
194,18902, Jabrill Peppers,NYG,SS,15,0,0,0,0,0,0,0,0,2.5,1,1,1,7.5,112.5
197,19803, Mark Andrews,BAL,TE,14,0,0,0,0,0,58,701,7,0,0,0,0,8,112.1
198,11694, Nick Folk,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
198,20144, Michael Badgley,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
200,18268, Romeo Okwara,DET,DE,16,0,0,0,0,0,0,0,0,10,0,2,1,7,111.9
200,19310, Nicholas Morrow,LV,OLB,14,0,0,0,0,0,0,0,0,3,1,1,1,8,111.9
202,14885, Jamie Collins Sr.,DET,LB,14,0,0,0,0,0,0,0,0,1,1,3,1,8,111.6
203,18464, J.D. McKissic,WAS,RB,16,0,0,0,365,1,80,589,2,0,0,0,0,7,111.4
204,19562, Austin Ekeler,LAC,RB,10,0,0,0,530,1,54,403,2,0,0,0,0,11.1,111.3
205,14916, Giovani Bernard,CIN,RB,16,0,0,0,416,3,47,355,3,0,0,0,0,6.9,111.1
205,16271, Shaquil Barrett,TB,OLB,15,0,0,0,0,0,0,0,0,8,0,2,0,7.4,111.1
207,17994, Kevin Byard,TEN,FS,16,0,0,0,0,0,0,0,0,0,1,1,0,6.9,111
207,21940, Antoine Winfield Jr.,TB,S,16,0,0,0,0,0,0,0,0,3,1,2,1,6.9,111
209,18939, Marcus Maye,NYJ,FS,16,0,0,0,0,0,0,0,0,2,2,2,2,6.9,110.6
210,19207, Tim Patrick,DEN,WR,15,0,0,0,0,0,51,742,6,0,0,0,0,7.3,110.2
211,19933, Josey Jewell,DEN,ILB,16,0,0,0,0,0,0,0,0,2,0,0,0,6.9,110.1
211,21923, Kamren Curl,WAS,S,16,0,0,0,0,0,0,0,0,2,3,0,0,6.9,110.1
213,55, Kansas City Chiefs,KC,DST,16,0,0,0,0,0,0,0,0,32,16,12,7,6.9,110
214,20006, Russell Gage,ATL,WR,16,39,1,0,9,0,72,786,4,0,0,0,0,6.8,109.06
215,17935, Leonard Floyd,LAR,OLB,16,0,0,0,0,0,0,0,0,10.5,0,0,2,6.8,108.7
216,16806, Eric Kendricks,MIN,ILB,11,0,0,0,0,0,0,0,0,0,3,0,0,9.9,108.5
216,16303, Daniel Sorensen,KC,FS,15,0,0,0,0,0,0,0,0,0,3,1,0,7.2,108.5
216,20991, Khari Willis,IND,SS,14,0,0,0,0,0,0,0,0,2,2,1,0,7.8,108.5
219,21831, Jalen Hurts,PHI,QB,15,1061,6,4,357,3,1,3,0,0,0,0,0,7.2,108.44
220,20805, T.J. Hockenson,DET,TE,16,0,0,0,0,0,67,723,6,0,0,0,0,6.8,108.3
221,14005, T.Y. Hilton,IND,WR,15,0,0,0,0,0,56,762,5,0,0,0,0,7.2,108.2
