RK,ID,NAME,TEAM,POS,GAMES,PASSING YDS,PASSING TD,PASSING INT,RUSHING YDS,RUSHING TD,RECEIVING RECEPTIONS,RECEIVING YARDS,RECEIVING TDS,D - SACKS,D - INTERCEPTIONS,D - FF,D - FR,PTS/GAME,TOTAL POINTS
202,12247, Jason Pierre-Paul,TB,OLB,16,0,0,0,0,0,0,0,0,9.5,2,4,2,7.8,125.2
203,19063, George Kittle,SF,TE,8,0,0,0,17,0,48,634,2,0,0,0,0,15.6,125.1
204,17215, Jason Myers,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,125
205,4807, Adrian Peterson,DET,RB,16,0,0,0,604,7,12,101,0,0,0,0,0,7.8,124.5
206,19017, Josh Reynolds,LAR,WR,16,0,0,0,5,0,52,618,2,0,0,0,0,7.8,124.3
207,17925, Myles Jack,JAX,OLB,14,0,0,0,0,0,0,0,0,1,1,1,2,8.9,124.1
208,10333, Graham Gano,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,124
209,19873, Jessie Bates III,CIN,FS,16,0,0,0,0,0,0,0,0,0,3,1,0,7.7,123.5
210,19287, Kenny Moore II,IND,CB,16,0,0,0,0,0,0,0,0,2,4,2,0,7.6,122.1
210,20788, Mecole Hardman,KC,WR,16,0,0,0,31,0,41,560,4,0,0,0,0,7.6,122.1
212,21519, Joey Slye,CAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,122
212,69, New Orleans Saints,NO,DST,16,0,0,0,0,0,0,0,0,45,18,7,8,7.6,122
214,18089, Rashard Higgins,CLE,WR,13,0,0,0,0,0,37,599,4,0,0,0,0,9.3,120.9
215,20912, Tony Pollard,DAL,RB,16,0,0,0,435,4,28,192,1,0,0,0,0,7.5,120.7
216,16035, Malcolm Butler,TEN,CB,16,0,0,0,0,0,0,0,0,0,4,0,0,7.5,120
217,21052, Brian Burns,CAR,OLB,15,0,0,0,0,0,0,0,0,9,0,3,0,7.9,118.8
217,19120, David Moore,SEA,WR,16,0,0,0,61,0,35,417,6,0,0,0,0,7.4,118.8
219,17991, Vonn Bell,CIN,SS,16,0,0,0,0,0,0,0,0,0,0,3,2,7.4,118.5
220,20956, Montez Sweat,WAS,DE,16,0,0,0,0,0,0,0,0,9,1,2,0,7.4,118.2
221,20715, Alexander Johnson,DEN,ILB,16,0,0,0,0,0,0,0,0,1,0,2,0,7.4,118
221,37, Buffalo Bills,BUF,DST,16,0,0,0,0,0,0,0,0,38,15,15,11,7.4,118
223,16845, Jordan Hicks,ARI,ILB,16,0,0,0,0,0,0,0,0,0,1,0,0,7.3,117.5
224,11056, Antonio Brown,TB,WR,8,0,0,0,-2,0,45,483,4,0,0,0,0,14.6,117.1
225,95, Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,48,15,15,10,7.3,117
226,16056, James White,NE,RB,14,0,0,0,121,2,49,375,1,0,0,0,0,8.3,116.6
227,18023, Justin Simmons,DEN,FS,16,0,0,0,0,0,0,0,0,0,5,0,1,7.3,116.5
228,19863, Dallas Goedert,PHI,TE,11,0,0,0,0,0,46,524,3,0,0,0,0,10.6,116.4
229,19330, Nick Mullens,SF,QB,10,2437,12,12,8,0,0,0,0,0,0,0,0,11.6,116.28
230,16323, Khalil Mack,CHI,OLB,16,0,0,0,0,0,0,0,0,9,1,3,2,7.2,115.9
230,20762, Travis Fulgham,PHI,WR,13,0,0,0,0,0,38,539,4,0,0,0,0,8.9,115.9
232,14888, Logan Ryan,NYG,CB,16,0,0,0,0,0,0,0,0,1,1,3,2,7.2,115.7
233,19836, Tremaine Edmunds,BUF,ILB,15,0,0,0,0,0,0,0,0,2,0,0,0,7.7,115.6
234,15113, Jon Bostic,WAS,ILB,16,0,0,0,0,0,0,0,0,3,1,0,0,7.2,115.4
235,12955, J.J. Watt,HOU,DE,16,0,0,0,0,0,0,0,0,5,1,2,1,7.2,115.1
236,1694, Mason Crosby,GB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115
236,14867, Dustin Hopkins,WAS,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115
238,17141, Damiere Byrd,NE,WR,16,0,0,0,15,0,47,604,1,0,0,0,0,7.2,114.9
239,13484, K.J. Wright,SEA,OLB,16,0,0,0,0,0,0,0,0,2,1,1,2,7.2,114.8
240,22092, Chase Young,WAS,DE,15,0,0,0,0,0,0,0,0,7.5,0,4,3,7.6,114.45
241,16159, Stephon Tuitt,PIT,DE,15,0,0,0,0,0,0,0,0,11,0,2,0,7.6,114.35
242,2982, Stephen Gostkowski,TEN,K,15,0,0,0,0,0,0,0,0,0,0,0,0,7.6,114
242,17294, Troy Hill,LAR,CB,16,0,0,0,0,0,0,0,0,0,3,1,2,7.1,114
244,16724, Adrian Phillips,NE,SS,16,0,0,0,0,0,0,0,0,1,2,0,0,7.1,113.9
245,19070, Chuck Clark,BAL,SS,16,0,0,0,0,0,0,0,0,1.5,1,2,2,7.1,113.6
246,17963, Austin Hooper,CLE,TE,13,0,0,0,0,0,46,435,4,0,0,0,0,8.7,113.5
247,17942, Keanu Neal,ATL,LB,15,0,0,0,0,0,0,0,0,1,1,1,1,7.6,113.4
248,549, Matt Prater,DET,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.1,113
249,16467, Kyle Van Noy,MIA,LB,14,0,0,0,0,0,0,0,0,6,0,2,2,8,112.7
250,19928, Taron Johnson,BUF,CB,16,0,0,0,0,0,0,0,0,1,1,1,0,7,112.6
251,16786, Shaq Thompson,CAR,ILB,16,0,0,0,0,0,0,0,0,0,0,2,1,7,112.5
251,18902, Jabrill Peppers,NYG,SS,15,0,0,0,0,0,0,0,0,2.5,1,1,1,7.5,112.5
253,11694, Nick Folk,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
253,20144, Michael Badgley,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
255,18268, Romeo Okwara,DET,DE,16,0,0,0,0,0,0,0,0,10,0,2,1,7,111.9
255,19310, Nicholas Morrow,LV,OLB,14,0,0,0,0,0,0,0,0,3,1,1,1,8,111.9
257,14885, Jamie Collins Sr.,DET,LB,14,0,0,0,0,0,0,0,0,1,1,3,1,8,111.6
258,12845, A.J. Green,CIN,WR,16,0,0,0,0,0,47,523,2,0,0,0,0,7,111.3
259,16271, Shaquil Barrett,TB,OLB,15,0,0,0,0,0,0,0,0,8,0,2,0,7.4,111.1
260,17994, Kevin Byard,TEN,FS,16,0,0,0,0,0,0,0,0,0,1,1,0,6.9,111
260,21940, Antoine Winfield Jr.,TB,S,16,0,0,0,0,0,0,0,0,3,1,2,1,6.9,111
262,18939, Marcus Maye,NYJ,FS,16,0,0,0,0,0,0,0,0,2,2,2,2,6.9,110.6
263,19933, Josey Jewell,DEN,ILB,16,0,0,0,0,0,0,0,0,2,0,0,0,6.9,110.1
263,21923, Kamren Curl,WAS,S,16,0,0,0,0,0,0,0,0,2,3,0,0,6.9,110.1
265,55, Kansas City Chiefs,KC,DST,16,0,0,0,0,0,0,0,0,32,16,12,7,6.9,110
266,21831, Jalen Hurts,PHI,QB,15,1061,6,4,357,3,1,3,0,0,0,0,0,7.3,109.44
267,17053, Malcolm Brown,LAR,RB,16,0,0,0,419,5,23,162,0,0,0,0,0,6.8,109.1
268,17935, Leonard Floyd,LAR,OLB,16,0,0,0,0,0,0,0,0,10.5,0,0,2,6.8,108.7
268,19864, Anthony Miller,CHI,WR,16,0,0,0,12,0,49,485,2,0,0,0,0,6.8,108.7
270,16806, Eric Kendricks,MIN,ILB,11,0,0,0,0,0,0,0,0,0,3,0,0,9.9,108.5
270,16303, Daniel Sorensen,KC,FS,15,0,0,0,0,0,0,0,0,0,3,1,0,7.2,108.5
270,20991, Khari Willis,IND,SS,14,0,0,0,0,0,0,0,0,2,2,1,0,7.8,108.5
273,16902, Adrian Amos,GB,FS,16,0,0,0,0,0,0,0,0,2,2,1,1,6.7,107.7
274,14917, Rex Burkhead,NE,RB,10,0,0,0,274,3,25,192,3,0,0,0,0,10.8,107.6
274,18047, Demarcus Robinson,KC,WR,16,0,0,0,0,0,45,466,3,0,0,0,0,6.7,107.6
276,15186, A.J. Klein,BUF,OLB,16,0,0,0,0,0,0,0,0,5,0,2,1,6.7,107.3
277,1, Arizona Cardinals,ARI,DST,16,0,0,0,0,0,0,0,0,48,11,14,10,6.7,107
278,19862, Harold Landry III,TEN,OLB,16,0,0,0,0,0,0,0,0,5.5,1,0,0,6.7,106.85
279,17958, Emmanuel Ogbah,MIA,DE,16,0,0,0,0,0,0,0,0,9,0,3,0,6.7,106.55
280,14461, Harrison Smith,MIN,SS,16,0,0,0,0,0,0,0,0,0.5,5,0,0,6.7,106.5
281,9906, Danny Amendola,DET,WR,14,0,0,0,2,0,46,602,0,0,0,0,0,7.6,106.4
282,14057, Danny Trevathan,CHI,ILB,16,0,0,0,0,0,0,0,0,1,0,1,0,6.6,106.3
282,16182, Avery Williamson,PIT,ILB,15,0,0,0,0,0,0,0,0,1,1,0,0,7.1,106.3
